Stage,Day,Date,Time (ET),Time (MDT),Team 1,Team 1 Score,Team 2,Team 2 Score,Location,Watched,Network
Group Stage,Thursday, June 11,3pm,1pm,Mexico,2,South Africa,0,Estadio Banorte (Mexico City),YES,TSN1/3/4/CTV/Crave
Group Stage,Thursday, June 11,10pm,8pm,Korea Republic,2,Czechia,1,Estadio Akron (Guadalajara),YES,TSN1/4/5
Group Stage,Friday, June 12,3pm,1pm,Canada,1,Bosnia-Herzegovina,1,BMO Field (Toronto),YES,TSN1/3/4/CTV/Crave
Group Stage,Friday, June 12,9pm,7pm,USA,4,Paraguay,1,SoFi Stadium (Los Angeles),YES,TSN1/4/CTV2/Crave
Group Stage,Saturday, June 13,3pm,1pm,Qatar,1,Switzerland,1,Levi's Stadium (San Francisco),YES,TSN1/3/4/CTV/Crave
Group Stage,Saturday, June 13,6pm,4pm,Brazil,1,Morocco,1,Metlife Stadium (NY/NJ),YES,TSN1/4/5/CTV/Crave
Group Stage,Saturday, June 13,9pm,7pm,Haiti,0,Scotland,1,Gilette Stadium (Boston),YES,TSN1/4/5/CTV/Crave
Group Stage,Sunday, June 14,Midnight,10pm (June 13),Australia,2,Turkiye,0,BC Place (Vancouver),YES,TSN1/4/5/CTV/Crave
Group Stage,Sunday, June 14,1pm,11am,Germany,7,Curacao,1,NRG Stadium (Houston),YES,TSN1/4/CTV/Crave
Group Stage,Sunday, June 14,4pm,2pm,Netherlands,2,Japan,2,AT&T Stadium (Dallas),YES,TSN1/4/CTV/Crave
Group Stage,Sunday, June 14,7pm,5pm,Ivory Coast,1,Ecuador,0,Lincoln Financial Field (Philadelphia),YES,TSN1/3/4/5
Group Stage,Sunday, June 14,10pm,8pm,Sweden,5,Tunisia,1,Estadio BBVA (Monterrey),YES,TSN1/3/4/5
Group Stage,Monday, June 15,Noon,10am,Spain,0,Cabo Verde,0,Mercedes-Benz Stadium (Atlanta),YES,TSN1/3/4
Group Stage,Monday, June 15,3pm,1pm,Belgium,1,Egypt,1,Lumen Field (Seattle),YES,TSN1/3/4
Group Stage,Monday, June 15,6pm,4pm,Saudi Arabia,1,Uruguay,1,Hard Rock Stadium (Miami),YES,TSN1/3/4/5
Group Stage,Monday, June 15,9pm,7pm,Iran,2,New Zealand,2,SoFi Stadium (Los Angeles),YES,TSN1/3/4/5
Group Stage,Tuesday, June 16,3pm,1pm,France,3,Senegal,1,Metlife Stadium (NY/NJ),YES,TSN1/3/4
Group Stage,Tuesday, June 16,6pm,4pm,Iraq,1,Norway,4,Gilette Stadium (Boston),YES,TSN1/3/4/5
Group Stage,Tuesday, June 16,9pm,7pm,Argentina,3,Algeria,0,GEHA Field at Arrowhead Stadium (KC),YES,TSN1/3/4/5
Group Stage,Wednesday, June 17,Midnight,10pm (June 16),Austria,3,Jordan,1,Levi's Stadium (San Francisco),YES,TSN1/3/4
Group Stage,Wednesday, June 17,1pm,11am,Portugal,1,Congo DR,1,NRG Stadium (Houston),YES,TSN1/3/4/5/CTV/Crave
Group Stage,Wednesday, June 17,4pm,2pm,England,4,Croatia,2,AT&T Stadium (Dallas),YES,TSN1/3/4/CTV2/Crave
Group Stage,Wednesday, June 17,7pm,5pm,Ghana,1,Panama,0,BMO Field (Toronto),YES,TSN1/3/4/5/CTV2/Crave
Group Stage,Wednesday, June 17,10pm,8pm,Uzbekistan,1,Colombia,3,Estadio Banorte (Mexico City),YES,TSN1/3/4/5
Group Stage,Thursday, June 18,Noon,10am,Czechia,1,South Africa,1,Mercedes-Benz Stadium (Atlanta),YES,TSN1/3/4/5
Group Stage,Thursday, June 18,3pm,1pm,Switzerland,,Bosnia-Herzegovina,,SoFi Stadium (Los Angeles),YES,TSN1/3/4
Group Stage,Thursday, June 18,6pm,4pm,Canada,6,Qatar,0,BC Place (Vancouver),YES,TSN1/3/4/5/CTV/Crave
Group Stage,Thursday, June 18,9pm,7pm,Mexico,1,Korea Republic,0,Estadio Akron (Guadalajara),YES,TSN1/3/4/5
Group Stage,Friday, June 19,3pm,1pm,USA,2,Australia,0,Lumen Field (Seattle),,TSN1/3/4
Group Stage,Friday, June 19,6pm,4pm,Scotland,0,Morocco,1,Gilette Stadium (Boston),YES,TSN3/4
Group Stage,Friday, June 19,8:30pm,6:30pm,Brazil,3,Haiti,0,Lincoln Financial Field (Philadelphia),,TSN4/5
Group Stage,Friday, June 19,11pm,9pm,Turkiye,0,Paraguay,1,Levi's Stadium (San Francisco),YES,TSN4/5
Group Stage,Saturday, June 20,1pm,11am,Netherlands,5,Sweden,1,NRG Stadium (Houston),,TSN1/4/CTV/Crave
Group Stage,Saturday, June 20,4pm,2pm,Germany,2,Ivory Coast,1,BMO Field (Toronto),,TSN1/4/CTV/Crave
Group Stage,Saturday, June 20,8pm,6pm,Ecuador,0,Curacao,0,GEHA Field at Arrowhead Stadium (KC),,TSN1/4/5/CTV/Crave
Group Stage,Sunday, June 21,Midnight,10pm (June 20),Tunisia,0,Japan,4,Estadio BBVA (Monterrey),,TSN1/3/4/5
Group Stage,Sunday, June 21,Noon,10am,Spain,4,Saudi Arabia,0,Mercedes-Benz Stadium (Atlanta),YES,TSN1/4/5/CTV/Crave
Group Stage,Sunday, June 21,3pm,1pm,Belgium,0,Iran,0,SoFi Stadium (Los Angeles),,TSN1/4/CTV/Crave
Group Stage,Sunday, June 21,6pm,4pm,Uruguay,2,Cabo Verde,2,Hard Rock Stadium (Miami),,TSN1/4/CTV/Crave
Group Stage,Sunday, June 21,9pm,7pm,New Zealand,1,Egypt,3,BC Place (Vancouver),,TSN1/3/4/5/CTV/Crave
Group Stage,Monday, June 22,1pm,11am,Argentina,2,Austria,0,AT&T Stadium (Dallas),,TSN1/3/4/5
Group Stage,Monday, June 22,5pm,3pm,France,3,Iraq,0,Lincoln Financial Field (Philadelphia),YES,TSN1/3/4/5
Group Stage,Monday, June 22,8pm,6pm,Norway,3,Senegal,2,Metlife Stadium (NY/NJ),,TSN1/3/4/5
Group Stage,Monday, June 22,11pm,9pm,Jordan,1,Algeria,2,Levi's Stadium (San Francisco),YES,TSN1/3/4/5
Group Stage,Tuesday, June 23,1pm,11am,Portugal,5,Uzbekistan,0,NRG Stadium (Houston),YES,TSN1/3/4/5
Group Stage,Tuesday, June 23,4pm,2pm,England,0,Ghana,0,Gilette Stadium (Boston),,TSN1/3/4
Group Stage,Tuesday, June 23,7pm,5pm,Panama,0,Croatia,1,BMO Field (Toronto),,TSN1/3/4/5/CTV/Crave
Group Stage,Tuesday, June 23,10pm,8pm,Colombia,1,Congo DR,0,Estadio Akron (Guadalajara),,TSN1/3/4/5
Group Stage,Wednesday, June 24,3pm,1pm,Switzerland,2,Canada,1,BC Place (Vancouver),,TSN1/3/4/5/CTV/Crave
Group Stage,Wednesday, June 24,3pm,1pm,Bosnia-Herzegovina,3,Qatar,1,Lumen Field (Seattle),,TSN2
Group Stage,Wednesday, June 24,6pm,4pm,Scotland,0,Brazil,3,Hard Rock Stadium (Miami),,TSN1/3/4
Group Stage,Wednesday, June 24,6pm,4pm,Morocco,4,Haiti,2,Mercedes-Benz Stadium (Atlanta),,TSN2
Group Stage,Wednesday, June 24,9pm,7pm,Czechia,0,Mexico,3,Estadio Banorte (Mexico City),,TSN1/4
Group Stage,Wednesday, June 24,9pm,7pm,South Africa,1,Korea Republic,0,Estadio BBVA (Monterrey),,TSN2
Group Stage,Thursday, June 25,4pm,2pm,Curacao,0,Ivory Coast,2,Lincoln Financial Field (Philadelphia),,TSN2
Group Stage,Thursday, June 25,4pm,2pm,Ecuador,2,Germany,1,Metlife Stadium (NY/NJ),,TSN1/3/4
Group Stage,Thursday, June 25,7pm,5pm,Japan,1,Sweden,1,AT&T Stadium (Dallas),,TSN2
Group Stage,Thursday, June 25,7pm,5pm,Tunisia,1,Netherlands,3,GEHA Field at Arrowhead Stadium (KC),,TSN1/4/5
Group Stage,Thursday, June 25,10pm,8pm,Turkiye,3,USA,2,SoFi Stadium (Los Angeles),,TSN1/4/5
Group Stage,Thursday, June 25,10pm,8pm,Paraguay,0,Australia,0,Levi's Stadium (San Francisco),,TSN2
Group Stage,Friday, June 26,3pm,1pm,Norway,1,France,4,Gilette Stadium (Boston),YES,TSN1/3/4
Group Stage,Friday, June 26,3pm,1pm,Senegal,5,Iraq,0,BMO Field (Toronto),,TSN2/CTV/Crave
Group Stage,Friday, June 26,8pm,6pm,Cabo Verde,0,Saudi Arabia,0,NRG Stadium (Houston),,TSN2
Group Stage,Friday, June 26,8pm,6pm,Uruguay,0,Spain,1,Estadio Akron (Guadalajara),,TSN1/4/5
Group Stage,Friday, June 26,11pm,9pm,Egypt,1,Iran,1,Lumen Field (Seattle),,TSN2
Group Stage,Friday, June 26,11pm,9pm,New Zealand,1,Belgium,5,BC Place (Vancouver),,TSN1/4/5/CTV2/Crave
Group Stage,Saturday, June 27,5pm,3pm,Panama,0,England,2,Metlife Stadium (NY/NJ),,TSN1/4/CTV/Crave
Group Stage,Saturday, June 27,5pm,3pm,Croatia,2,Ghana,1,Lincoln Financial Field (Philadelphia),,TSN2
Group Stage,Saturday, June 27,7:30pm,5:30pm,Colombia,0,Portugal,0,Hard Rock Stadium (Miami),,TSN1/4/5/CTV/Crave
Group Stage,Saturday, June 27,7:30pm,5:30pm,Congo DR,3,Uzbekistan,1,Mercedes-Benz Stadium (Atlanta),,TSN2
